53.863008,10.704218,0.000010
53.8630114820,10.7042207020,0.4650637015
53.8630114180,10.7042212230,0.4746536527
53.8630112910,10.7042217230,0.4840536475
53.8630111820,10.7042221100,0.4840536475
53.8630110600,10.7042226760,0.5023262096
53.8630109300,10.7042231590,0.5199570252
53.8630108080,10.7042235810,0.5285519385
53.8630106750,10.7042239290,0.5370093065
53.8630105640,10.7042243210,0.5535365232
53.8630104680,10.7042248020,0.5774410907
53.8630103430,10.7042252400,0.5851923247
53.8630101850,10.7042256900,0.6078532616
53.8630100470,10.7042261520,0.6296992286
53.8630099020,10.7042267260,0.6508122996
53.8630097810,10.7042272670,0.6779410179
53.8630096930,10.7042277010,0.7040251403
53.8630095780,10.7042282210,0.7353302769
53.8630094270,10.7042287110,0.7594458444
53.8630092910,10.7042291030,0.7770415184
53.8630091720,10.7042295730,0.8055139597
53.8630091450,10.7042298500,0.8166250220
53.8630091420,10.7042300820,0.8437627893
53.8630091050,10.7042303510,0.8596343265
53.8630090920,10.7042305920,0.8700545170
53.8630090990,10.7042307760,0.8803513786
53.8630090940,10.7042309680,0.8905291893
53.8630090650,10.7042312430,0.9105435802
53.8630090350,10.7042315520,0.9301274030
53.8630090290,10.7042318150,0.9493073055
53.8630090220,10.7042320490,0.9634416905
53.8630090000,10.7042323000,0.9773716907
53.8630090030,10.7042325510,0.9956419016
53.8630090190,10.7042328010,1.0135828386
53.8630090260,10.7042330460,1.0312116878
53.8630090140,10.7042332630,1.0399140504
53.8630090050,10.7042334980,1.0571038769
53.8630090100,10.7042337520,1.0740186130
53.8630089790,10.7042340280,1.0906710574
53.8630089150,10.7042343140,1.1111357133
53.8630086720,10.7042352590,1.1703846494
53.8630084950,10.7042361070,1.2230969046
53.8630083430,10.7042368530,1.2736293999
53.8630081740,10.7042375570,1.3153987880
53.8630080080,10.7042381790,1.3558820357
53.8630078830,10.7042387520,1.3919577488
53.8630077730,10.7042393270,1.4334225969
53.8630076440,10.7042398820,1.4675934794
53.8630075320,10.7042403710,1.5009866424
53.8630074330,10.7042408180,1.5277655229
53.8630073330,10.7042412980,1.5598710756
53.8630072700,10.7042417290,1.5884949508
53.8630072130,10.7042421690,1.6166120885
53.8630071630,10.7042425850,1.6442484851
53.8630071600,10.7042429360,1.6660275596
53.8630070230,10.7042433290,1.6928574262
